Actual_date,Date,Holiday,
11/11/2016,1478822400,Veterans Day,
03/07/2015,1435881600,Independence Day (Observed),
16/02/2015,1424044800,Washington's Birthday,
30/05/2016,1464566400,Memorial Day,
25/12/2016,1482624000,Christmas Day,
11/11/2015,1447200000,Veterans Day,
25/12/2015,1451001600,Christmas Day,
24/11/2016,1479945600,Thanksgiving,
16/04/2015,1429142400,Emancipation Day,
15/04/2016,1460678400,Emancipation Day (Observed),
25/05/2015,1432512000,Memorial Day,
18/01/2016,1453075200,"Martin Luther King, Jr. Day",
16/04/2016,1460764800,Emancipation Day,
26/11/2015,1448496000,Thanksgiving,
01/01/2015,1420070400,New Year's Day,
01/01/2016,1451606400,New Year's Day,
19/01/2015,1421625600,"Martin Luther King, Jr. Day",
04/07/2015,1435968000,Independence Day,
05/09/2016,1473033600,Labor Day,
07/09/2015,1441584000,Labor Day,
15/02/2016,1455494400,Washington's Birthday,
26/12/2016,1482710400,Christmas Day (Observed),
04/07/2016,1467590400,Independence Day,
10/10/2016,1476057600,Columbus Day,
12/10/2015,1444608000,Columbus Day,